Level_1,Level_2,Level_3,Level_4,Level_5,Level_6
home,cleaning supplies,laundry supplies,,,
home,cleaning supplies,,,,
home,large appliances,ranges & ovens,,,
home,large appliances,refrigerators & freezers,,,
home,large appliances,washers & dryers,,,
home,large appliances,microwave ovens,,,
home,large appliances,dishwashers,,,
home,large appliances,,,,
home,bedding,comforters,,,
home,bedding,mattress pads & protectors,,,
home,bedding,duvet covers,,,
home,bedding,blankets & throws,,,
home,bedding,"bedspreads, quilts & coverlets",,,
home,bedding,bed skirts,,,
home,bedding,bed sheets & pillowcases,,,
home,bedding,bedding sets & collections,,,
home,bedding,bed pillows & positioners,,,
home,bedding,,,,
home,furniture,living room furniture,,,
home,furniture,office furniture,,,
home,furniture,dining room furniture,,,
home,furniture,bedroom furniture,,,
home,furniture,,,,
home,home goods,storage & organization,,,
home,home goods,lamps & lighting,,,
home,home goods,kitchen & dining,small kitchen appliances,,
home,home goods,kitchen & dining,flatware,,
home,home goods,kitchen & dining,dinnerware,,
home,home goods,kitchen & dining,kitchen tools & utensils,,
home,home goods,kitchen & dining,bakeware,,
home,home goods,kitchen & dining,drinkware,,
home,home goods,kitchen & dining,cookware,,
home,home goods,kitchen & dining,barware,,
home,home goods,kitchen & dining,,,
home,home goods,bath,towels & bath linens,,
home,home goods,bath,bath accessories,,
home,home goods,bath,,,
home,home goods,home decor,holiday & seasonal decor,,
home,home goods,home decor,rugs & carpets,,
home,home goods,home decor,window treatments & hardware,,
home,home goods,home decor,home fragrances,,
home,home goods,home decor,clocks,,
home,home goods,home decor,decorative accents,,
home,home goods,home decor,,,
home,home goods,,,,
home,,,,,
clothing & accessories,clothing accessories,women's accessories,belts,,
clothing & accessories,clothing accessories,women's accessories,gloves & mittens,,
clothing & accessories,clothing accessories,women's accessories,sunglasses,,
clothing & accessories,clothing accessories,women's accessories,scarves & wraps,,
clothing & accessories,clothing accessories,women's accessories,hats,,
clothing & accessories,clothing accessories,women's accessories,,,
clothing & accessories,clothing accessories,men's accessories,ties,,
clothing & accessories,clothing accessories,men's accessories,belts,,
clothing & accessories,clothing accessories,men's accessories,hats,,
clothing & accessories,clothing accessories,men's accessories,suspenders,,
clothing & accessories,clothing accessories,men's accessories,sunglasses,,
clothing & accessories,clothing accessories,men's accessories,gloves & mittens,,
clothing & accessories,clothing accessories,men's accessories,scarves,,
clothing & accessories,clothing accessories,men's accessories,,,
clothing & accessories,clothing accessories,girls' accessories,hats,,
clothing & accessories,clothing accessories,girls' accessories,gloves & mittens,,
